MpCodigo;Divipola;Departamento;Municipio;Estimación Inseguridad Alimentaria Moderada-Grave;IRCA;Suficiencia de vías;Cantidad tipo de cultivos;temperature_2m_mean_c;NDVI;Pob rural;Cereales;Cultivos para condimentos, bebidas medicinales y aromáticas;Cultivos tropicales tradicionales;Frutales;Hortalizas;Leguminosas;Oleaginosas;Raíces y tubérculos;NDVI;EVI;NDMI;NDWI;MSI;BSI;NDBI;Zscore_NDVI;KPI;KPI_Quintile;Cluster
5360;05360;Antioquia;Itagüí;0.185642227;1.6;14.62670077;5;18.91612903;0.407449598;0.096536596;0;0;31.71;17;253.7;0.78;0;50;0.267586404;0.05487877;-0.391975422;0.951717559;-0.033003497;-0.05487877;0.096536596;0.419471487;0.01;Muy Bajo;3
5361;05361;Antioquia;Ituango;0.657771035;0;4.756098481;6;19.08709677;0.639953223;0.713399966;216;0;26146.59;2745.8;320;1166.4;0;4200;0.564688255;0.255040658;-0.562307461;0.604262446;-0.210586514;-0.255040658;0.713399966;-0.881507333;0.989;Muy Alto;3
5364;05364;Antioquia;Jardín;0.252768453;0;16.57823432;6;16.02580645;0.685567348;0.455582194;18.36;60;3635.5;23738.6;1667;33.6;0;0;0.565969337;0.276551815;-0.604386107;0.576335286;-0.236508024;-0.276551815;0.455582194;0.328479199;0.426;Medio;1
5368;05368;Antioquia;Jericó;0.238965988;1.1;19.94295098;6;18.08064516;0.710366596;0.421118531;10.07;180;1200;36564;408;11.5;0;0;0.55848476;0.252069122;-0.629963378;0.607500667;-0.207145165;-0.252069122;0.421118531;0.11343532;0.45;Medio;1
5376;05376;Antioquia;La Ceja;0.183963293;8.9;16.64245432;6;15.18709677;0.676490866;0.133551689;9.51;0;519.08;6920.96;6717.9;64.46;0;608;0.529483623;0.239409172;-0.608805484;0.62996598;-0.193381592;-0.239409172;0.133551689;0.731968278;0.105;Muy Bajo;1
5380;05380;Antioquia;La Estrella;0.211935409;2.2;13.69360748;6;16.84193548;0.637852703;0.146192637;2.8;0;65.18;803;165;1.68;0;40;0.458355589;0.201257873;-0.570173381;0.686603383;-0.16520264;-0.201257873;0.146192637;0.267461112;0.145;Muy Bajo;1
5390;05390;Antioquia;La Pintada;0.390826438;3.1;12.94961229;2;25.8516129;0.740878352;0.107118096;0;0;0.3;3924.25;0;0;0;0;0.540517933;0.215265515;-0.661124438;0.658289862;-0.172853829;-0.215265515;0.107118096;0.552319158;0.121;Muy Bajo;3
5400;05400;Antioquia;La Unión;0.311023957;9.3;21.70426364;5;13.65806452;0.70306791;0.382674481;65.74;0;0;17587.13;17884.4;190.35;0;25610.71;0.525868019;0.262197395;-0.631913695;0.597676147;-0.213213943;-0.262197395;0.382674481;0.686270752;0.283;Bajo;1
5411;05411;Antioquia;Liborina;0.357384609;23.4;13.68064811;5;18.29032258;0.564585061;0.746360789;23.45;0;3771.02;3557.4;560;57.2;0;0;0.489938799;0.206757154;-0.505792229;0.673621403;-0.155727066;-0.206757154;0.746360789;-0.548077326;0.921;Muy Alto;3
5425;05425;Antioquia;Maceo;0.207035816;8.1;18.75341872;5;22.15806452;0.699908857;0.601262256;13.6;0;21402.99;4715;0;6.5;0;1650;0.581966631;0.215056083;-0.620565222;0.65804051;-0.179615563;-0.215056083;0.601262256;0.41381942;0.548;Medio;1
5440;05440;Antioquia;Marinilla;0.194095995;5.5;19.40791465;7;14.79677419;0.627851846;0.293695389;112.63;80;28.41;4213;78298.5;778.28;0;2944;0.493508;0.190316345;-0.567958593;0.694312263;-0.142910718;-0.190316345;0.293695389;0.335611391;0.232;Bajo;1
5467;05467;Antioquia;Montebello;0.344635796;16.3;20.84170149;4;15.1516129;0.73685875;0.687213215;13;0;1870.01;3070.5;0;12.5;0;0;0.597610013;0.270158627;-0.650866625;0.582644834;-0.228808018;-0.270158627;0.687213215;0.454848564;0.723;Alto;1
5475;05475;Antioquia;Murindó;0.445846776;0;1.288665228;4;25.29677419;0.785900949;0.631953867;484.5;0;1360;1427;0;0;0;96;0.58405724;0.306029874;-0.668101189;0.537017825;-0.282928547;-0.306029874;0.631953867;1.574244297;0.666;Alto;3
5480;05480;Antioquia;Mutatá;0.550905801;0.7;6.321595518;5;22.98387097;0.763448804;0.606251357;8644.5;0;595.7;1559.3;0;0;4896.41;6000;0.580763174;0.270675701;-0.65908352;0.584377012;-0.237691047;-0.270675701;0.606251357;1.419920542;0.73;Alto;3
5483;05483;Antioquia;Nariño;0.362831527;0.6;7.191056862;5;18.50645161;0.721611599;0.664909091;36.64;0;47604.51;4140;0;16.9;0;88;0.595106415;0.261115299;-0.631458767;0.59182783;-0.22547139;-0.261115299;0.664909091;0.124612876;0.84;Muy Alto;3
5490;05490;Antioquia;Necoclí;0.338083715;3.1;24.58670621;5;26.19354839;0.754544242;0.713124574;6122.5;74.7;1631.35;61571.85;0;0;0;9092.4;0.573600655;0.247606159;-0.658854001;0.61577692;-0.211913724;-0.247606159;0.713124574;1.1290193;0.589;Medio;3
5495;05495;Antioquia;Nechí;0.455591168;1;7.156242437;4;25.29032258;0.63659434;0.440285569;7422.98;0;3.6;714;0;0;0;2300;0.530232515;0.229733667;-0.563765121;0.647917074;-0.17544222;-0.229733667;0.440285569;0.62656075;0.462;Medio;3
5501;05501;Antioquia;Olaya;0.294428023;1.5;22.85205698;6;21.90322581;0.631203022;0.891323148;21.9;0;368.43;2636.5;40;13.5;0;112.5;0.482288414;0.178251615;-0.564502143;0.716296618;-0.133708487;-0.178251615;0.891323148;0.015777512;0.858;Muy Alto;1
5541;05541;Antioquia;Peñol;0.311163196;0.1;17.52251531;5;17.40645161;0.517177824;0.454022747;0;0;180.35;21619.88;67530;638.58;0;655.5;0.417252899;0.114088098;-0.414719764;1.055033265;-0.148480634;-0.114088098;0.454022747;0.378249921;0.208;Bajo;3
5543;05543;Antioquia;Peque;0.368269848;1.1;9.279863594;5;16.7483871;0.564568831;0.683557276;62.79;0;5114.23;265.5;22.2;334;0;0;0.499877754;0.198448088;-0.505709402;0.692000441;-0.149404334;-0.198448088;0.683557276;-0.80085157;0.855;Muy Alto;3
5576;05576;Antioquia;Pueblorrico;0.202682592;1;14.51537164;7;19.69677419;0.744475374;0.464818292;22.5;15;7533.95;7670.2;312;14.66;0;504;0.565427774;0.279426724;-0.653784524;0.572118653;-0.240427571;-0.279426724;0.464818292;0.811313233;0.472;Medio;2
5579;05579;Antioquia;Puerto Berrío;0.274575165;1.1;9.386900612;4;25.82903226;0.710990838;0.146228822;550.4;0;350.2;968;0;0;0;70;0.548790361;0.216478985;-0.633661054;0.661404103;-0.174714419;-0.216478985;0.146228822;0.724471361;0.131;Muy Bajo;3
5585;05585;Antioquia;Puerto Nare;0.206641477;8.9;12.40597828;4;24.90322581;0.688064258;0.659650924;8.8;0;63;162;0;0;0;460;0.535241325;0.198226226;-0.61419451;0.686549476;-0.158029605;-0.198226226;0.659650924;0.40970655;0.611;Alto;3
5591;05591;Antioquia;Puerto Triunfo;0.446746094;6.4;11.74797899;4;25.9;0.696926677;0.808456848;70.8;0;56.5;1452.7;0;0;0;315;0.536755032;0.203565422;-0.61812573;0.677109996;-0.159707255;-0.203565422;0.808456848;0.647389351;0.86;Muy Alto;3
5604;05604;Antioquia;Remedios;0.267944322;0;9.276012328;5;24.22903226;0.716205361;0.565609763;2283.58;0;4821.42;2240;0;130.5;0;2925;0.576847208;0.221540285;-0.641038134;0.653586815;-0.186256179;-0.221540285;0.565609763;0.670522477;0.558;Medio;3
5607;05607;Antioquia;Retiro;0.186830629;9.8;34.91908698;7;15.50322581;0.674163682;0.450694393;37.06;17.5;341.3;14247.6;6754;63.51;0;1150;0.495592081;0.258384827;-0.60277961;0.611188725;-0.213382965;-0.258384827;0.450694393;0.2741349;0.327;Bajo;1
5615;05615;Antioquia;Rionegro;0.156620487;5.9;24.57528924;5;15.50645161;0.628365876;0.370492633;69.89;0;0;2217.8;4378;102.5;0;222.5;0.468765935;0.185174915;-0.572188863;0.706130756;-0.141124348;-0.185174915;0.370492633;0.743545762;0.101;Muy Bajo;1
5628;05628;Antioquia;Sabanalarga;0.363178472;3.1;8.313282351;5;19.7516129;0.603797477;0.64436371;120;0;2520.22;349;16;140;0;0;0.484258501;0.183236035;-0.541986362;0.707746517;-0.133227589;-0.183236035;0.64436371;-0.405648326;0.823;Muy Alto;3
5631;05631;Antioquia;Sabaneta;0.204660569;2.1;13.90390607;5;18.32258065;0.558569262;0.135674905;12.3;0;27.91;51.8;119;12.3;0;0;0.411435652;0.160501637;-0.503077927;0.754829002;-0.127496913;-0.160501637;0.135674905;0.405524275;0.048;Muy Bajo;3
5642;05642;Antioquia;Salgar;0.20348755;3.1;48.90077303;4;19.43870968;0.755926117;0.604121532;24;0;8840.89;22948.9;0;65;0;0;0.595278139;0.281852022;-0.658198881;0.570349725;-0.246669943;-0.281852022;0.604121532;0.365864372;0.225;Bajo;1
5647;05647;Antioquia;San Andrés De Cuerquía;0.159568808;1.8;18.28033402;6;17.89032258;0.631185204;0.575925426;7.9;0;3634.25;1923;180;3.2;0;400;0.518849325;0.237911017;-0.562133452;0.62862132;-0.194922438;-0.237911017;0.575925426;-0.426301865;0.591;Medio;1
5649;05649;Antioquia;San Carlos;0.321616076;0.7;13.48219039;5;21.87096774;0.745445835;0.533238871;6.16;0;5760.46;244.7;0;12.15;0;522;0.586271195;0.269361393;-0.654675991;0.584547613;-0.236600394;-0.269361393;0.533238871;0.347179409;0.641;Alto;3
